Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Foxa3	144.62555642289	0.302879771290144	0.3284865689449	0.922046134985048	0.356504511663955	0.546911185615782
Irf2bp1	358.794211965425	0.773677201914726	0.216787861488075	3.56882159639406	0.000358590494379823	0.00272723927018124
Mypop	2526.80681348352	0.215249935299296	0.109266055543777	1.96996161550883	0.0488427698803341	0.134974145320417
Nanos2	1.16724726599727	1.85730432153319	3.51204430068973	0.528838523240848	0.596917471524649	NA
Gm38952	17.5230124989378	-0.349784044884382	0.902364245890832	-0.3876306563311	0.698289378905782	NA
Nova2	166.812209772189	0.32532192916744	0.310288675514814	1.04844925013033	0.294431672647945	0.481466013756215
Ccdc61	1106.03961499408	0.0438265016038476	0.146748821123854	0.298649769505532	0.765207286849528	0.867919674346109
Pglyrp1	0.511156305973351	-0.374988706257334	4.99206118127428	-0.0751170093155016	0.940121614582505	NA
Mill2	3.59642403709646	0.546742863760044	1.94507702306035	0.281090598098685	0.778640912209122	NA
Gm18855	1.42459042868882	1.34159232135951	3.21587788766129	0.417177631808393	0.676548484967486	NA
Gm36044	110.819768667354	-0.216850864832723	0.368525429311984	-0.588428497967078	0.556244714103648	0.721283168940792
Psg17	105.655115390118	-0.497356875458449	0.378973751218401	-1.31237816302434	0.18939257109551	0.356512320722981
Gm19126	2.57385913830063	1.35074310337833	2.53444764184959	0.53295364286657	0.594065670538999	NA
Psg19	20.9633852603209	-0.802232154696697	0.828708242745611	-0.968051376005149	0.333018712018376	NA
Sycp1-ps1	52.7657904731789	-0.403835989296128	0.526175748489685	-0.767492592456578	0.442788695734418	NA
Psg22	0.65596481659935	2.59333281383281	4.85461963961774	0.534198970537064	0.593203881309848	NA
Gm4880	2.64816809243115	0.575365600750691	2.25151130611221	0.255546396408821	0.798301113640336	NA
Gm8314	0.218739034482827	0.909113173321083	4.96621799345982	0.18305945782451	0.854751366144466	NA
Mill1	0.437225782116523	1.48621865040922	4.93284478707538	0.301290373924451	0.763193080596867	NA
Gm5322	0.729769197031613	0.180551740236589	4.69644180245533	0.0384443687010441	0.969333386002911	NA
Gm5155	0.29254341491509	-1.66660534846434	4.96798110852448	-0.335469340977291	0.737271068475111	NA
Gm6065	0.218739034482827	0.909113173321083	4.96621799345982	0.18305945782451	0.854751366144466	NA
Gm33109	0.218612891058262	0.916476028211908	4.96798214910974	0.184476513945635	0.853639650113132	NA
Gm32846	3.23275034856307	-1.43331220172086	2.29576902978512	-0.624327701578507	0.532412394981872	NA
Gm32772	14.6676546067126	-0.377950206571076	0.992526041364528	-0.380796262082423	0.703354433106435	NA
Gm42373	2.3342422451454	2.10087933074921	2.66637946444527	0.787914608090597	0.430746655841155	NA
Ceacam3	0.874829994506743	2.90905457598278	4.29410669771632	0.677452793040719	0.498118712097091	NA
Psg16	2.29954656662013	2.11719202777369	2.68265919641367	0.789213937649656	0.429986977201615	NA
Hif3a	22.3471969260444	0.359118792313691	0.814838491166841	0.4407238933932	0.659412896757717	NA
Ppp5c	4985.96827162025	-0.205537100546751	0.098798256849193	-2.08037173024708	0.0374914501502924	0.11081975523375
Ccdc8	6.66434392895693	0.897296425811484	1.47763971678947	0.607249802246166	0.543685146014939	NA
Gm42372	22.2426626046855	-0.816047687564752	0.805042606195276	-1.0136701850123	0.310740155342046	NA
Gm25815	0.218739034482827	0.909113173321083	4.96621799345982	0.18305945782451	0.854751366144466	NA
Pnmal1	1449.62164652835	-0.0210734787349378	0.137202404720422	-0.153594091720764	0.877929795782761	0.934854689127896
Pnmal2	207.638562856422	-0.141305144527873	0.274183245121321	-0.51536753992881	0.606296210791269	0.758627347399229
Gm32630	18.3932042745898	-0.324219077815206	0.910953791061975	-0.355911662036377	0.72190672189109	NA
Gm45972	42.7829192809681	-0.902446990974882	0.58563909574787	-1.54096097328073	0.123326284588265	NA
Calm3	27612.8959016174	-0.339069586216316	0.080382003921693	-4.21822758420695	2.46230223838293e-05	0.000286755614845012
Ptgir	6.44865743156176	-0.147038586127147	1.45718956680617	-0.100905599021974	0.919625398420152	NA
Gng8	53.1719685328006	0.299304400187582	0.526711119622669	0.568251531127729	0.5698641852437	NA
Dact3	219.932222271656	0.0965555062630961	0.26839056904122	0.359757448288978	0.719028526795831	0.838425306131626
9330104G04Rik	52.7097696501981	-0.91337679894494	0.534232248125901	-1.70969985834641	0.0873213889669421	NA
