Geneid	4N_ZFP821_WT_RNA_seq_rep1	4N_ZFP821_WT_RNA_seq_rep2	4N_ZFP821_KO_RNA_seq_rep1	4N_ZFP821_KO_RNA_seq_rep2
Mpo	113	122	137	105
Tspoap1	428	433	551	489
Mir142	5	10	6	9
Mir142b	0	1	3	0
Supt4a	943	977	1121	1145
1110028F11Rik	2	0	16	10
Gm25968	0	0	0	0
Rnf43	135	136	194	195
Hsf5	26233	27780	23551	22864
Mtmr4	4727	4915	5760	5756
Septin4	538	596	555	544
Gm34000	22	7	10	13
Rnu3b2	6	14	15	26
Rnu3b4	12	8	36	37
Rnu3b3	40	41	165	165
Gm23137	0	0	0	1
Rnu3b1	0	0	0	0
Gm22068	76	98	109	132
Rnu1a1	58	48	77	79
Tex14	4142	4475	5188	5866
Rad51c	1858	1977	1723	1712
Gm33937	11	22	14	9
Gm22883	0	0	6	6
Ppm1e	200	172	219	230
Trim37	46952	50628	44146	44542
Mir301	2	0	4	7
Ska2	242	279	327	306
Prr11	709	831	816	925
Smg8	1282	1466	1822	1733
Gdpd1	2556	2693	2805	2870
Gm22387	0	0	0	0
Gm51915	2	4	8	11
Ypel2	69	67	104	136
Gm46290	0	0	0	0
Gm38931	0	0	0	2
Gm15785	0	1	3	5
Bicd1	45	51	49	78
Gm15783	0	0	0	0
Gm15786	2	0	0	0
Gm15784	41	46	33	36
Gm38930	1	1	3	2
Resf1	309	310	315	479
Amn1	4253	4517	3985	4147
Etfbkmt	102	88	109	132
Gm23462	1	8	5	4
Gm15780	0	0	0	0
LOC115489348	10	3	8	4
Gm15781	0	0	0	2
Dennd5b	6027	6747	5972	5150
Gm36762	0	0	0	0
Caprin2	1027	1084	2042	2251
2610017A05Rik	6	14	18	3
Ipo8	988	1055	1050	1054
Gm15778	0	0	0	0
4930528G23Rik	1	1	0	1
Gm6313	0	0	0	0
Gm36613	0	0	0	0
Gm36478	0	0	0	0
Rps4l	5092	5136	6174	5637
Gm52483	4	3	3	5
Tmtc1	1190	1189	1293	1175
4732416N19Rik	108	96	98	115
Ergic2	3829	3988	3783	4267
Far2os1	0	0	0	0
Far2	13	12	18	15
Gm15762	8	8	6	10
1700049E15Rik	1	3	1	1
Gm36244	0	1	0	0
Ccdc91	1451	1510	1858	1936
Gm6288	223	241	223	201
LOC105247366	0	0	0	0
Gm15766	0	0	0	0
Pthlh	2	0	1	1
Gm15767	104	157	136	139
E330012B07Rik	0	2	0	0
Gm7571	0	0	0	0
Klhl42	21	19	20	34
Mansc4	0	0	1	1
Mrps35	370	353	482	505
Rep15	1	6	4	7
Gm35876	2	1	2	4
1700034J05Rik	1803	1931	1879	2271
Ppfibp1	1459	1570	2203	2170
Smco2	4762	5423	6206	5556
Arntl2	58	68	83	96
Gm6266	1	2	5	7
Stk38l	487	509	922	1057
4930479D17Rik	32	32	45	35
Gm6654	0	0	1	0
Med21	515	468	524	527
Tm7sf3	278	278	518	562
Fgfr1op2	4937	5426	5568	6120
Ints13	6459	6723	6292	6319
Gm35596	0	0	0	0
Gm35707	6	1	2	0
Gm35768	241	237	249	236
Itpr2	78	94	93	80
Gm32914	0	0	0	1
Gm32838	0	0	0	0
Sspn	6	8	9	15
Gm32675	1	1	2	3
Rassf8	73	48	89	79
Gm15704	0	2	2	1
Tuba3b	135006	139645	117664	99150
Gm25373	0	0	0	0
Gm38475	17	23	49	35
Lmntd1	163	159	152	149
1700073E17Rik	156	160	148	195
Gm23498	0	0	0	0
LOC105247329	11	13	23	17
Gm15707	0	0	0	1
Gm15706	58	60	104	67
Kras	1134	1188	1225	1293
Etfrf1	237	285	290	262
Gm15543	3	1	4	0
Casc1	1979	2192	2704	2368
Lrmp	0	4	7	5
Gm38925	0	0	0	0
Gm26666	0	0	0	0
Bcat1	22	27	22	12
Gm46721	7	2	3	7
Gm32124	0	0	0	0
Gm20124	4	0	5	6
Gm22792	0	0	2	0
Gm32069	0	0	0	0
Sox5os4	0	0	0	0
Sox5os3	50	55	29	45
Gm38531	0	0	0	0
Gm52485	0	3	0	1
Gm52486	0	0	2	1
Gm52484	1	0	0	0
Gm32010	0	0	0	0
Sox5	772	800	771	721
Gm46720	0	0	0	0
Gm31521	0	2	1	1
1700060C16Rik	1	0	1	0
Gm27047	0	0	0	0
LOC115489351	0	0	0	0
LOC108168698	0	0	0	0
LOC108168699	0	0	0	0
LOC100862425	0	0	0	0
LOC100862415	0	0	0	0
LOC100862414	0	0	0	0
LOC101056304	0	0	0	0
LOC101056303	0	0	0	0
LOC101056302	0	0	0	0
LOC100862413	0	0	0	0
LOC108168697	0	0	0	0
Klra13-ps	0	0	0	0
LOC115489357	0	0	0	0
LOC115489360	0	0	0	0
Klra3	0	0	0	0
LOC100862408	0	0	0	0
LOC115486444	0	0	0	0
Klra9	6	8	8	13
Gm23552	0	0	0	0
Klra16	0	0	0	0
Klra1	0	0	0	0
LOC108167384	0	0	0	0
Gm24072	0	0	0	0
LOC108167383	0	0	0	0
Klra23	0	0	0	0
Klra7	0	0	0	0
Gm52487	3	2	3	0
LOC115489352	0	0	0	0
LOC108167386	0	0	0	0
Gm24712	0	0	0	0
Klra8	13	6	7	8
Gm24676	0	0	0	0
Klra4	0	0	0	1
Klra6	0	0	0	0
Gm15854	0	0	0	0
Klra5	0	0	0	0
Gm23977	0	0	0	0
Klra17	0	0	0	0
LOC115489356	0	0	0	0
Klrh1	0	0	0	0
Klri2	0	0	0	0
Klri1	0	0	0	0
Mir680-1	0	0	0	0
Gm7309	0	0	0	0
Klrc1	0	0	0	0
Klrc3	0	0	0	0
LOC100048823	0	0	0	0
Btbd35f7	0	0	1	0
LOC101056296	0	0	0	0
LOC108168717	0	0	0	0
LOC102641053	0	0	0	0
LOC100862450	0	0	0	0
LOC102642215	0	0	0	0
LOC102641066	0	0	0	0
LOC100862449	0	0	0	0
Tcf19	90	74	175	139
Pou5f1	9	9	16	24
LOC108167390	0	0	0	0
Skiv2l-ps1	1	0	1	3
LOC100862456	0	0	0	0
LOC100862455	0	0	0	0
LOC100862454	0	0	0	0
LOC115489383	0	0	0	0
Olfr412	0	0	0	0
Olfr411	0	0	0	0
Olfr410	0	0	0	0
Gm12332	0	0	0	0
n-R5s71	0	0	0	0
Olfr409-ps1	0	0	0	0
Olfr408-ps1	0	0	0	0
Olfr59	3	0	0	0
Olfr407-ps1	0	0	0	0
Olfr406	0	0	0	0
Olfr405-ps1	0	0	0	0
Olfr404-ps1	0	0	0	0
Olfr43	0	0	0	0
Olfr403	0	0	0	0
Olfr402	2	1	4	1
n-TKctt5	0	0	0	0
Olfr401	0	0	0	0
Olfr400-ps1	0	1	0	0
Gm12331	0	0	0	0
Zfp616	0	0	0	0
Olfr399	0	0	0	0
Olfr139	0	0	0	0
Olfr398	0	0	0	0
Olfr397	1	0	0	0
Olfr22-ps1	0	0	0	0
Olfr23	1	3	0	0
Olfr396-ps1	0	0	0	0
Olfr395	0	0	0	0
Olfr394	0	0	0	0
Olfr393	0	0	0	0
Olfr392	2	0	0	0
Olfr391	1	1	0	0
Olfr390	0	0	0	0
Olfr389	0	0	0	0
Gm22381	0	0	0	0
Olfr388-ps1	0	0	0	0
Zfp735	6	2	5	2
Olfr387-ps1	0	0	0	0
Gm12327	0	1	0	1
Olfr384	0	0	0	0
Olfr385	0	0	0	0
Olfr383-ps1	0	0	0	0
Olfr382	0	0	0	0
Olfr381	0	0	0	0
Olfr380	0	0	0	0
Olfr379-ps1	0	0	1	0
Olfr378	0	0	0	0
Olfr75-ps1	0	0	0	0
Olfr1	0	0	0	0
Gm17811	0	0	0	0
Olfr377-ps1	2	0	0	0
Olfr376	0	0	1	0
Olfr20	20	16	31	22
Spata22	742	822	665	724
Aspa	235	250	240	214
