Geneid	RS_ZFP821_WT_RNA_seq_rep1	RS_ZFP821_WT_RNA_seq_rep2	RS_ZFP821_KO_RNA_seq_rep1	RS_ZFP821_KO_RNA_seq_rep2
Olfr408-ps1	2	0	0	1
Olfr59	1	0	1	1
Olfr407-ps1	1	0	2	0
Olfr406	0	0	0	0
Olfr405-ps1	0	0	0	0
Olfr404-ps1	5	6	1	1
Olfr43	0	1	0	0
Olfr403	0	0	1	2
Olfr402	16	21	33	38
n-TKctt5	0	0	0	0
Olfr401	0	0	0	0
Olfr400-ps1	2	0	2	0
Gm12331	0	0	0	0
Zfp616	1	0	0	0
Olfr399	0	0	0	0
Olfr139	0	0	0	0
Olfr398	2	0	0	2
Olfr397	0	0	0	0
Olfr22-ps1	1	0	1	0
Olfr23	11	5	4	11
Olfr396-ps1	0	0	0	0
Olfr395	0	0	0	0
Olfr394	2	0	0	0
Olfr393	0	0	0	0
Olfr392	0	0	0	0
Olfr391	0	0	0	0
Olfr390	2	1	4	8
Olfr389	2	1	0	0
Gm22381	0	0	2	2
Olfr388-ps1	0	0	1	0
Zfp735	19	6	7	19
Olfr387-ps1	0	0	0	0
Gm12327	0	0	0	1
Olfr384	0	0	0	0
Olfr385	0	0	0	0
Olfr383-ps1	0	0	0	0
Olfr382	0	0	0	0
Olfr381	0	0	0	0
Olfr380	0	0	0	0
Olfr379-ps1	1	0	0	0
Olfr378	0	0	0	0
Olfr75-ps1	0	0	0	0
Olfr1	1	0	0	0
Gm17811	0	0	0	1
Olfr377-ps1	0	0	0	2
Olfr376	2	1	0	2
Olfr20	3	0	7	4
Spata22	56	42	25	42
Aspa	106	83	62	71
Trpv3	23	12	14	19
Trpv1	687	627	369	399
Gm16021	0	0	0	0
Shpk	147	146	59	75
Ctns	275	233	112	174
Tax1bp3	334	350	128	205
Emc6	2807	3134	1258	1370
P2rx5	104	100	51	66
Gm35001	0	5	3	3
Haspin	48618	43304	33498	39696
Itgae	19291	16969	8047	8522
Ncbp3	234	248	279	335
Camkk1	28	31	21	9
4732414G09Rik	6	5	4	0
P2rx1	2	5	1	3
Atp2a3	253	262	72	108
Gm34793	25	29	28	24
Gm34704	0	0	1	0
Zzef1	3009	2950	2524	2918
LOC100048798	0	0	0	0
LOC105247305	0	0	0	0
Nlrp1c-ps	23	14	16	34
Gm23266	0	0	1	1
Nlrp1b	69	47	90	122
Nlrp1a	6	20	4	8
Gm15377	0	0	0	0
Gm12321	0	0	0	0
6330403K07Rik	5	10	1	3
Mis12	180	167	167	217
Derl2	7047	6341	2466	2799
Gm22297	0	1	0	0
Dhx33	716	668	493	650
C1qbp	1363	1243	680	849
Rpain	5499	4778	2477	2878
Nup88	15039	13311	8988	10648
Gm12322	0	1	0	0
Rabep1	550	435	504	659
Scimp	2	1	1	7
Zfp3	66	57	52	53
Gm51884	0	0	0	3
Gm12320	0	0	1	4
Mir6925	0	0	0	0
Kif1c	347	393	140	129
Inca1	658	619	327	353
Camta2	1327	1294	755	842
Spag7	1936	1485	1351	1594
Eno3	4422	4151	3001	3513
Pfn1	6052	5879	1951	2218
Rnf167	11444	10918	4757	5407
Slc25a11	2037	1917	896	964
Gp1ba	3	6	4	4
Gm12315	4	8	7	7
4930544D05Rik	9887	9616	4301	4749
Chrne	11583	10212	3612	3608
Gm51905	42	36	101	130
Mink1	2444	2115	1376	1647
Pld2	23	33	10	23
Gm40193	0	0	0	0
Psmb6	31251	25867	10821	11767
Gltpd2	2	2	4	0
Vmo1	2	5	5	6
Tm4sf5	11	19	7	12
Zmynd15	58313	58271	28169	32559
Cxcl16	922	688	305	327
Med11	152	142	78	93
Mir7115	1	3	1	0
Arrb2	92	91	32	28
Gm12314	1	0	0	0
Gm12313	0	0	0	0
Pelp1	20960	21052	10254	11678
Gm12312	5	4	2	4
Alox15	165	183	322	441
Alox12e	3	1	1	1
Gm40192	29	20	9	11
Gm33048	0	0	2	1
Gm32992	0	0	4	5
Alox12	80	74	35	36
Gm40191	197	127	107	115
Rnasek	2737	2463	1000	1132
0610010K14Rik	362	466	194	204
Mir195a	1	1	3	3
Mir497	1	3	2	7
Mir497b	0	0	0	0
Bcl6b	670	643	336	369
Slc16a13	59	42	47	45
Slc16a11	23	12	7	5
Clec10a	104	96	43	52
Mgl2	16	14	7	6
Gm12311	0	0	1	0
Asgr2	1	1	1	3
Gm32946	1	0	4	2
Asgr1	10	3	17	18
Dlg4	573	618	453	533
Mir324	0	0	0	1
Acadvl	1256	1076	621	734
Dvl2	1818	1704	689	895
Phf23	1064	965	465	544
Gabarap	33582	29863	12515	14217
Gm51904	159	129	184	203
Ctdnep1	2990	2920	1636	1894
Elp5	13531	12623	6900	7923
Cldn7	13	12	14	13
Gm12310	0	0	3	6
Slc2a4	51	57	28	26
Ybx2	165559	151405	74015	83478
Eif5a	56942	50448	21595	23762
